Frames,X Position (px),Y Position (px),Angle (deg)
431,46.0,40.0,41.00908690157022
432,46.57142857142857,39.19047619047619,40.08105704071847
433,45.44444444444444,41.166666666666664,42.1724228020633
434,46.577777777777776,42.42222222222222,42.32670791092963
435,47.74358974358974,41.33333333333333,40.88391048495005
436,47.5,41.0,40.799377795364606
437,46.577777777777776,41.42222222222222,41.647110103609904
438,47.64583333333333,40.5,40.36526378764158
439,47.577777777777776,40.42222222222222,40.35132815691592
440,47.0,39.733333333333334,40.21084654602173
441,46.666666666666664,40.25641025641025,40.782282516213435
442,46.733333333333334,40.0,40.56088385153146
443,47.577777777777776,39.577777777777776,39.755521920555346
444,46.33333333333333,39.256410256410255,40.273293994610086
445,46.19047619047619,39.57142857142857,40.586698234099174
446,46.577777777777776,39.42222222222222,40.2437098912248
447,47.42222222222222,39.42222222222222,39.73683945284593
448,45.5,39.354166666666664,40.8574043419325
449,45.577777777777776,40.42222222222222,41.56932004741695
450,47.5,40.354166666666664,40.34994431335274
451,47.5,40.0,40.10090754621224
452,46.77777777777777,39.77777777777778,40.37638596893968
453,46.42222222222222,41.42222222222222,41.74230822346371
454,46.5,41.354166666666664,41.64787602487245
455,47.0,40.733333333333334,40.91438322002513
456,45.627450980392155,42.2156862745098,42.775790798929734
457,44.833333333333336,42.55555555555556,43.50693248789695
458,46.577777777777776,41.577777777777776,41.7537803620321
459,46.19047619047619,41.0,41.59318503573595
460,46.19047619047619,41.0,41.59318503573595
461,45.64583333333333,41.5,42.27629211731219
462,46.64583333333333,41.5,41.65894273425189
463,45.42222222222222,41.42222222222222,42.36285657073823
464,44.5,41.5,43.00212014352333
465,44.577777777777776,41.42222222222222,42.898616960448024
466,46.0,40.375,41.27398777381136
467,45.577777777777776,40.42222222222222,41.56932004741695
468,44.44444444444444,39.833333333333336,41.868284182192646
469,44.42222222222222,39.577777777777776,41.69929642925957
470,44.354166666666664,39.5,41.68694795358138
471,43.64583333333333,40.5,42.85896624267758
472,43.56862745098039,41.431372549019606,43.55964836811844
473,43.8095238095238,40.57142857142857,42.80236896258353
474,45.19047619047619,40.0,41.513398961934435
475,44.42222222222222,41.42222222222222,42.99850280086159
476,45.19047619047619,42.57142857142857,43.29064954770182
477,45.577777777777776,42.577777777777776,43.050933605609465
478,46.64583333333333,42.5,42.337309956997544
479,46.5,42.64583333333333,42.52439302921034
480,46.5,42.64583333333333,42.52439302921034
481,47.8095238095238,41.57142857142857,41.007674005054604
482,47.577777777777776,40.42222222222222,40.35132815691592
483,46.64583333333333,40.5,40.96597734635509
484,47.5,40.64583333333333,40.55366207704352
485,47.64583333333333,40.5,40.36526378764158
